"Descricao","10","100","1000","10000","100000","1000000"
"Tempo - 1 Execucao ","0","0","12","81","4756","875067"
"Tempo - Media","0.0","0.0","12.0","81.0","4756.0","875067.0"
"Comparacao de Registros - 1 Execucao ","45","4950","499500","49995000","4999950000","499999500000"
"Comparacao de Registros - Media","45.0","4950.0","499500.0","4.9995E7","4.99995E9","4.999995E11"
"Movimentacao de Registros - 1 Execucao ","18","198","1998","19998","199998","1999998"
"Movimentacao de Registros - Media","18.0","198.0","1998.0","19998.0","199998.0","1999998.0"
"Quantidade de Operacoes - 1 Execucao ","207","15642","1506492","150064992","15000649992","1500006499992"
"Quantidade de Operacoes - Media","207.0","15642.0","1506492.0","1.50064992E8","1.5000649992E10","1.500006499992E12"
